"polugodiste","ucenika sa izostancima","ucenika bez izostanaka","ucenika sa opravdanim","broj opravdanih","ucenika sa neopravdanim","broj neopravdanih","ucenika sa neregulisanim","broj neregulisanih","ukupno izostanaka","broj izostanaka po uceniku","godina","odeljenje","pandemija"
1,"33","0","33","1520","18","36","0","0","1556","47.15","III","2",FALSE
2,"33","0","33","1165","23","48","0","0","1213","36.76","III","2",FALSE
0,"33","0","33","2685","26","84","0","0","2769","83.91","III","2",FALSE
1,"29","0","29","1622","12","18","0","0","1640","56.55","III","3",FALSE
2,"29","0","28","1546","24","44","0","0","1590","54.83","III","3",FALSE
0,"29","0","29","3168","26","62","0","0","3230","111.38","III","3",FALSE
1,"25","3","25","1048","10","12","0","0","1060","37.86","III","4",FALSE
2,"25","3","24","722","11","17","4","4","743","26.54","III","4",FALSE
0,"28","0","28","1770","14","29","4","4","1803","64.39","III","4",FALSE
1,"30","0","30","1858","16","32","0","0","1890","63","III","5",FALSE
2,"30","0","30","1675","13","21","16","18","1714","57.13","III","5",FALSE
0,"30","0","30","3533","18","53","16","18","3604","120.13","III","5",FALSE
1,"33","0","33","2244","32","114","0","0","2358","71.45","III","6",FALSE
2,"32","1","32","1981","26","60","0","0","2041","61.85","III","6",FALSE
0,"33","0","33","4225","32","174","0","0","4399","133.3","III","6",FALSE
1,"30","0","30","1287","5","8","0","0","1295","43.17","III","7",FALSE
2,"30","0","30","1049","8","9","0","0","1058","35.27","III","7",FALSE
0,"30","0","30","2336","10","17","0","0","2353","78.43","III","7",FALSE
1,"27","1","27","1903","19","45","0","0","1948","69.57","III","8",FALSE
2,"28","0","28","1216","15","36","0","0","1252","44.71","III","8",FALSE
0,"28","0","28","3119","21","81","0","0","3200","114.29","III","8",FALSE
1,"28","0","28","1112","10","16","0","0","1128","40.29","III","9",FALSE
2,"28","0","28","958","13","22","0","0","980","35","III","9",FALSE
0,"28","0","28","2070","15","38","0","0","2108","75.29","III","9",FALSE
1,"26","0","26","1792","11","25","0","0","1817","69.88","III","si",FALSE
2,"26","0","26","1120","12","22","0","0","1142","43.92","III","si",FALSE
0,"26","0","26","2912","16","47","0","0","2959","113.81","III","si",FALSE
1,"17","0","17","1042","9","25","0","0","1067","62.76","III","sm",FALSE
2,"15","2","15","939","9","18","1","1","958","56.35","III","sm",FALSE
0,"17","0","17","1981","10","43","1","1","2025","119.12","III","sm",FALSE
1,"32","0","32","3276","19","102","0","0","3378","105.56","IV","1",FALSE
2,"32","0","32","1415","24","41","0","0","1456","45.5","IV","1",FALSE
0,"32","0","32","4691","28","143","0","0","4834","151.06","IV","1",FALSE
1,"31","0","31","2026","19","62","0","0","2088","67.35","IV","2",FALSE
2,"29","2","29","1288","21","29","0","0","1317","42.48","IV","2",FALSE
0,"31","0","31","3314","24","91","0","0","3405","109.84","IV","2",FALSE
1,"29","0","28","1626","25","43","0","0","1669","57.55","IV","3",FALSE
2,"29","0","29","1213","15","25","0","0","1238","42.69","IV","3",FALSE
0,"29","0","29","2839","26","68","0","0","2907","100.24","IV","3",FALSE
1,"29","0","29","1951","23","57","0","0","2008","69.24","IV","4",FALSE
2,"28","1","28","1031","14","17","0","0","1048","36.14","IV","4",FALSE
0,"29","0","29","2982","23","74","0","0","3056","105.38","IV","4",FALSE
1,"33","0","33","2592","28","112","0","0","2704","81.94","IV","5",FALSE
2,"33","0","33","1635","19","22","0","0","1657","50.21","IV","5",FALSE
0,"33","0","33","4227","29","134","0","0","4361","132.15","IV","5",FALSE
1,"27","1","27","2545","24","64","0","0","2609","93.18","IV","6",FALSE
2,"27","1","27","1253","21","30","0","0","1283","45.82","IV","6",FALSE
0,"27","1","27","3798","24","94","0","0","3892","139","IV","6",FALSE
